 shape_pt_sequence |    shape_pt_lat    |    shape_pt_lon
                 1 | 13.318443808369803 |  -59.63985143747173
                 2 |         13.3184707 |         -59.6399053
                 3 |         13.3184432 |         -59.6399762
                 4 |         13.3183444 |         -59.6402554
                 5 |         13.3182932 |          -59.640298
                 6 |         13.3180265 |         -59.6404297
                 7 |         13.3177012 |         -59.6410364
                 8 |         13.3176446 |         -59.6410705
                 9 |         13.3172669 |         -59.6412338
                10 |         13.3172556 |         -59.6412985
                11 |         13.3170915 |         -59.6414513
                12 |         13.3170482 |         -59.6414675
                13 |         13.3169973 |          -59.641465
                14 |         13.3169386 |         -59.6414406
                15 |         13.3169137 |         -59.6414618
                16 | 13.316910963225068 |   -59.6414564836204
                 1 |  13.31155672892159 |  -59.63679450152546
                 2 |         13.3115311 |         -59.6367897
                 3 |         13.3114881 |         -59.6368001
                 4 |         13.3114496 |         -59.6368205
                 5 |         13.3108997 |         -59.6372641
                 6 |         13.3100578 |         -59.6378302
                 7 |         13.3096782 |         -59.6380201
                 8 |         13.3091149 |         -59.6382347
                 9 |         13.3078984 |         -59.6386297
                10 |         13.3069167 |         -59.6391064
                11 |         13.3059573 |         -59.6395879
                12 |         13.3053725 |         -59.6398659
                13 |          13.305179 |         -59.6399579
                14 |         13.3051259 |         -59.6399831
                15 |         13.3032226 |         -59.6408396
                16 |           13.30311 |         -59.6408903
                17 |         13.3022835 |         -59.6413488
                18 |         13.3014278 |         -59.6417401
                19 |         13.3004101 |         -59.6422054
                20 |         13.3003682 |         -59.6422246
                21 |         13.3000283 |           -59.64236
                 1 | 13.268333675875827 | -59.644863404952844
                 2 |         13.2680659 |         -59.6447599
                 3 |         13.2676471 |         -59.6446009
                 4 |         13.2673427 |         -59.6444822
                 5 |         13.2670348 |         -59.6443704
                 6 |         13.2669093 |         -59.6442758
                 7 |         13.2668495 |         -59.6441377
                 8 |         13.2668371 |          -59.644082
                 9 |         13.2668358 |         -59.6440371
                10 |         13.2668296 |         -59.6439632
                11 |         13.2667659 |         -59.6438856
                12 |          13.266713 |          -59.643807
                13 |         13.2666922 |         -59.6437996
                14 |          13.266675 |         -59.6437855
                15 |         13.2666635 |         -59.6437662
                16 |          13.266591 |         -59.6437052
                17 |         13.2665088 |         -59.6436349
                18 |         13.2664001 |         -59.6436309
                19 |         13.2663117 |         -59.6436422
                20 |         13.2662369 |         -59.6436509
                21 |         13.2661182 |         -59.6436637
                22 |         13.2660105 |         -59.6436346
                23 |         13.2659399 |         -59.6436039
                24 |         13.2657791 |         -59.6434831
                25 |           13.26567 |         -59.6434007
                26 |         13.2656402 |         -59.6433744
                27 |         13.2655671 |         -59.6432941
                28 |         13.2654098 |         -59.6431535
                29 |         13.2653654 |         -59.6431192
                30 |         13.2653433 |         -59.6431128
                31 |         13.2653241 |         -59.6430999
                32 |         13.2653095 |         -59.6430817
                33 |         13.2650999 |         -59.6430195
                34 |         13.2648237 |         -59.6429569
                35 |         13.2646141 |         -59.6429302
                36 |         13.2645261 |         -59.6429163
                37 |         13.2644215 |          -59.642873
                38 |         13.2643167 |         -59.6428115
                39 |         13.2641858 |         -59.6427201
                40 |          13.263998 |           -59.64256
                41 |           13.26348 |         -59.6421217
                42 |           13.26282 |         -59.6415982
                43 |         13.2625281 |         -59.6413932
                44 |         13.2622338 |         -59.6412439
                45 | 13.262037817514285 |   -59.6412075670983
                 1 | 13.316903017559435 |  -59.64144104860081
                 2 | 13.316140858420894 |  -59.63996050036554
                 1 | 13.279697231640043 |  -59.64770217474601
                 2 |         13.2796444 |         -59.6477147
                 3 |         13.2794016 |         -59.6476572
                 4 |         13.2791337 |         -59.6475843
                 5 |         13.2789248 |         -59.6475385
                 6 |         13.2788155 |         -59.6475148
                 7 |         13.2786652 |         -59.6474568
                 8 |         13.2785265 |         -59.6473879
                 9 |         13.2784407 |         -59.6473297
                10 |         13.2782631 |         -59.6472423
                11 |         13.2780953 |         -59.6472129
                12 |         13.2778808 |         -59.6472011
                13 |         13.2775768 |         -59.6471843
                14 |         13.2772897 |         -59.6471271
                15 |         13.2770624 |         -59.6471077
                16 |         13.2768472 |         -59.6470821
                17 |         13.2766604 |         -59.6470649
                18 |         13.2764939 |         -59.6470013
                19 |         13.2764212 |         -59.6469401
                20 |         13.2763402 |         -59.6468833
                21 |         13.2762265 |         -59.6468679
                22 |         13.2760787 |          -59.646877
                23 |         13.2759395 |         -59.6468769
                24 | 13.275839312779192 |  -59.64686181117798
                 1 | 13.297297229963212 | -59.641982713565326
                 2 |         13.2972604 |         -59.6419571
                 3 |         13.2971763 |         -59.6418407
                 4 |         13.2968826 |          -59.641322
                 5 |          13.296844 |         -59.6412804
                 6 |         13.2968007 |         -59.6412509
                 7 |         13.2967552 |         -59.6412368
                 8 | 13.296667961601555 |   -59.6412421673538
                 1 |  13.31788841230186 | -59.623571566458814
                 2 |         13.3179052 |         -59.6235588
                 3 |         13.3183934 |         -59.6240003
                 4 |         13.3190002 |         -59.6245545
                 5 |         13.3192275 |         -59.6247278
                 6 | 13.319225153914992 |  -59.62473350889747
